"'","'OPA364 1,2 ","'1.8-5,5 ","'0.85 ","'1 ","'10 ","'- ","'500 ","'3 ","'- ","'74 ","'10 ","'17 ","'0.6 ","'7 ","'5 ","'1.5 ","'- ","'3 ","'","'","'2.18 ","'chg-pump, 20ppm dist ",
"'","'TLC4501A 1,2 ","'4-7 ","'1 ","'1 ","'60 ","'10 ","'40 ","'1 ","'","'90 ","'1.5 ","'12 ","'0.6 ","'4.7 ","'2.5 ","'2.2 ","'. ","'8 ","'","'","'3.06 ","'0.3s self-cal at pwr-on ",
"'","'OPA743 1,2,4 ","'3.5-13 ","'1.1 ","'1 ","'10 ","'1500 ","'7000 ","'8 ","'- ","'66 ","'11 ","'30 ","'2.5 ","'7 ","'10 ","'15 ","'. ","'4 ","'","'","'1.58 ","'jellybean ",
"'","'LMP7715 1,2 ","'1.8-6 ","'1.15 ","'0.05 ","'1 ","'10 ","'150 ","'1 ","'4 ","'85 ","'- ","'5.8 ","'10 ","'17 ","'9.5 ","'","'","'15 ","'","'","'2.05 ","'",
"'","'LMP7717 1,2 ","'1.8-6 ","'1.15 ","'0.05 ","'1 ","'10 ","'150 ","'1 ","'4 ","'85 ","'","'6.2 ","'10 ","'88 ","'28 ","'","'","'15 ","'","'","'2.18 ","'decomp, G>10 ",
"'","'AD8692 1,2,4 ","'2.7-6 ","'0.85 ","'0.2 ","'1 ","'400 ","'2000 ","'0.3 ","'6 ","'68 ","'1.6 ","'8 ","'50 ","'10 ","'5 ","'1 ","'","'5 ","'","'","'1.36 ","'0.6ppm dist ",
"'","'AD8616 1,2,4 ","'2.7-6 ","'1.7 ","'0.2 ","'1 ","'23 ","'60 ","'1.5 ","'7 ","'80 ","'2.4 ","'7 ","'50 ","'24 ","'12 ","'0.5 ","'","'7 ","'","'","'1.52 ","'jellybean, '15 SOT-23 ",
"'","'OPA350 1,2,4 ","'2.5-7 ","'5.2 ","'0.5 ","'10 ","'150 ","'500 ","'4 ","'","'74 ","'","'7 ","'4 ","'38 ","'22 ","'0.5 ","'","'6.5 ","'","'","'1.67 ","'",
"'","'OPA380 1,2 ","'2.7-7 ","'7.5 ","'3 ","'50 ","'4 ","'25 ","'0.03 ","'0.1 ","'100 ","'3 ","'5.8 ","'10 ","'90 ","'80 ","'2 ","'","'3 ","'","'","'5.39 ","'",
"'","'LMC6001A 1 ","'5-16 ","'0.45 ","'10fA ","'251A ","'- ","'350 ","'2.5 ","'10 ","'83 ","'","'22 ","'0.13 ","'1.3 ","'1.5 ","'","'","'","'","'","'12.19 ","'transimp, w/auto-zero ",
"'","'LMP7721 1 ","'1.8-6 ","'1.3 ","'31AY ","'20fA ","'26 ","'150 ","'1.5 ","'4 ","'83 ","'","'7 ","'10 ","'17 ","'10 ","'","'","'","'","'","'","'",
"'","'chorper ","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'11.89 ","'very low en for 20fA! ",
"'","'MAX9617 1 ","'1.6-6 ","'0.06 ","'10 ","'140 ","'0.8 ","'10 ","'0.01 ","'0.12 ","'116 ","'0.42 ","'42 ","'100 ","'1.5 ","'0.7 ","'","'","'","'","'","'","'",
"'","'AD8638 1,2 ","'5-16 ","'1 ","'1.6 ","'40 ","'3 ","'9 ","'0.01 ","'0.06 ","'118 ","'1.2 ","'60 ","'noisy ","'1.35 ","'2.5 ","'3 ","'","'4 ","'","'","'1.60 ","'charge pump ",
"'","'LTC2050H 1 ","'2.7-11 ","'0.8 ","'7 ","'50 ","'0.5 ","'3 ","'- ","'0.03 ","'120 ","'1.5 ","'","'","'3 ","'2 ","'","'. ","'","'","'","'3.31 ","'auto-zero; SOT23 ",
"'","'AD8551 1,2,4 ","'2.7-6 ","'0,7 ","'10 ","'50 ","'1 ","'5 ","'0.01 ","'0.04 ","'120 ","'1 ","'42 ","'(2) ","'1.5 ","'0.4 ","'50 ","'","'1.7 ","'","'","'2.19 ","'replaces LTC1050 ",
"'","'OPA735 1,2 ","'2.7-13 ","'0.6 ","'100 ","'200 ","'1 ","'5 ","'0.01 ","'0.05 ","'115 ","'2.5 ","'135 ","'40 ","'1.8 ","'1.5 ","'","'","'10 ","'","'","'2.34 3.38 ","'auto-zero, ",
"'","'(e) Notes: for (a) boldface measured values 10Hz for Vee+1.4V chopper ","'indicates are often op-amps. VCM < ","'number as much (m) Vcc-0.7V. ","'in a as LT1097 LTC ","'package 5x-100x cheaper. suggests ","'for larger; (n) dual ","'the part see & LT1490/1. ","'number discussion quad have (g) LTC ","'in ","'listed. Chapter degraded suggests ","'(b) 8. la LT1677. ","'0.01Hz-10Hz and Vos: (h) ","'or LTC ","'0.1Hz-10Hz. '6013=decomp. suggests ","'(o) LT6200/30. ","'(c) values ","'calculated. in (k) ","'at ","'(d) usually parenthesized 1kHz or ","'to 0.01%. 10kHz (i.e., above ","'should the ","'""chopper" relled not be except upon; 1/f corner), ",
